horizontal segments,vertical segments,runtime(ms)
1000,1000,5.797863006591797
10000,10000,354.9385070800781
100000,100000,34917.63138771057
11000,11000,428.072452545166
12000,12000,507.3285102844238
13000,13000,593.2197570800781
14000,14000,687.7527236938477
15000,15000,790.1809215545654
16000,16000,896.2564468383789
17000,17000,1018.2149410247803
18000,18000,1154.888391494751
19000,19000,1263.4990215301514
2000,2000,16.7388916015625
20000,20000,1397.6256847381592
21000,21000,1547.0359325408936
22000,22000,1688.720703125
23000,23000,1847.0871448516846
24000,24000,2017.2808170318604
25000,25000,2185.7452392578125
26000,26000,2364.4583225250244
27000,27000,2542.175769805908
28000,28000,2756.8931579589844
29000,29000,2935.241222381592
3000,3000,34.30461883544922
30000,30000,3144.8140144348145
31000,31000,3358.9770793914795
32000,32000,3573.794364929199
33000,33000,3795.5503463745117
34000,34000,4010.859489440918
35000,35000,4263.338327407837
36000,36000,4504.120111465454
37000,37000,4778.13196182251
38000,38000,5020.421504974365
39000,39000,5288.213491439819
4000,4000,58.193206787109375
40000,40000,5580.275058746338
41000,41000,5852.574586868286
42000,42000,6123.928785324097
43000,43000,6439.343690872192
44000,44000,6767.462491989136
45000,45000,7033.067464828491
46000,46000,7328.8514614105225
47000,47000,7726.899862289429
48000,48000,8019.660949707031
49000,49000,8386.83819770813
5000,5000,91.13407135009766
50000,50000,8693.554162979126
51000,51000,9040.900468826294
52000,52000,9370.798349380493
53000,53000,9751.62386894226
54000,54000,10113.276481628418
55000,55000,10496.138095855713
56000,56000,10865.674495697021
57000,57000,11258.424997329712
58000,58000,11690.701961517334
59000,59000,12160.18033027649
6000,6000,130.3403377532959
60000,60000,12582.34453201294
61000,61000,12894.512414932251
62000,62000,13363.703727722168
63000,63000,13806.95366859436
64000,64000,14341.156959533691
65000,65000,14649.837970733643
66000,66000,15138.521432876587
67000,67000,15621.72555923462
68000,68000,16002.8715133667
69000,69000,16498.628616333008
7000,7000,176.35035514831543
70000,70000,17126.662254333496
71000,71000,17464.484930038452
72000,72000,17958.66322517395
73000,73000,18481.34183883667
74000,74000,18947.736024856567
75000,75000,19500.303268432617
76000,76000,19983.750343322754
77000,77000,20575.12879371643
78000,78000,21236.86957359314
79000,79000,21707.491159439087
8000,8000,227.01096534729004
80000,80000,22192.981958389282
81000,81000,22763.87119293213
82000,82000,23419.13914680481
83000,83000,23989.97712135315
84000,84000,24471.339464187622
85000,85000,25071.425199508667
86000,86000,25676.877975463867
87000,87000,26302.51145362854
88000,88000,26921.760320663452
89000,89000,27438.738346099854
9000,9000,294.0225601196289
90000,90000,28309.98396873474
91000,91000,28850.362062454224
92000,92000,29273.569583892822
93000,93000,30028.6967754364
94000,94000,30822.787046432495
95000,95000,31406.156063079834
96000,96000,32100.225687026978
97000,97000,32755.07879257202
98000,98000,33349.30348396301
99000,99000,34206.87484741211
