horizontal segments,vertical segments,runtime(ms)
1000,1000,1.5494823455810547
10000,10000,6.927251815795898
100000,100000,51.056623458862305
11000,11000,6.913661956787109
12000,12000,7.869720458984375
13000,13000,10.297775268554688
14000,14000,8.362293243408203
15000,15000,7.804393768310547
16000,16000,8.636713027954102
17000,17000,10.205984115600586
18000,18000,9.050130844116211
19000,19000,10.549545288085938
2000,2000,1.8868446350097656
20000,20000,15.531063079833984
21000,21000,10.747432708740234
22000,22000,11.388301849365234
23000,23000,12.61758804321289
24000,24000,13.597726821899414
25000,25000,13.458013534545898
26000,26000,14.126300811767578
27000,27000,13.307809829711914
28000,28000,16.021013259887695
29000,29000,15.03300666809082
3000,3000,3.0176639556884766
30000,30000,15.667200088500977
31000,31000,18.535375595092773
32000,32000,17.45009422302246
33000,33000,16.449928283691406
34000,34000,20.234346389770508
35000,35000,20.216703414916992
36000,36000,19.327163696289062
37000,37000,18.321990966796875
38000,38000,19.86837387084961
39000,39000,19.373416900634766
4000,4000,2.8464794158935547
40000,40000,21.519184112548828
41000,41000,22.00603485107422
42000,42000,25.702953338623047
43000,43000,25.172948837280273
44000,44000,22.07040786743164
45000,45000,24.615049362182617
46000,46000,23.589134216308594
47000,47000,24.464130401611328
48000,48000,25.76923370361328
49000,49000,24.607419967651367
5000,5000,4.222631454467773
50000,50000,26.395082473754883
51000,51000,26.74126625061035
52000,52000,26.316404342651367
53000,53000,26.964187622070312
54000,54000,26.34286880493164
55000,55000,29.428720474243164
56000,56000,29.672622680664062
57000,57000,28.21040153503418
58000,58000,30.73573112487793
59000,59000,28.896093368530273
6000,6000,3.7355422973632812
60000,60000,29.309511184692383
61000,61000,29.739856719970703
62000,62000,30.376672744750977
63000,63000,34.29269790649414
64000,64000,31.336307525634766
65000,65000,32.849788665771484
66000,66000,32.84430503845215
67000,67000,42.17028617858887
68000,68000,34.49201583862305
69000,69000,40.004730224609375
7000,7000,4.4078826904296875
70000,70000,35.23397445678711
71000,71000,45.06945610046387
72000,72000,35.73298454284668
73000,73000,39.6726131439209
74000,74000,45.02987861633301
75000,75000,43.12419891357422
76000,76000,38.55538368225098
77000,77000,38.248300552368164
78000,78000,41.04876518249512
79000,79000,38.466691970825195
8000,8000,6.41942024230957
80000,80000,40.56215286254883
81000,81000,41.41950607299805
82000,82000,39.36028480529785
83000,83000,40.97247123718262
84000,84000,42.16885566711426
85000,85000,48.37465286254883
86000,86000,43.7164306640625
87000,87000,45.01032829284668
88000,88000,46.26917839050293
89000,89000,46.289682388305664
9000,9000,5.475759506225586
90000,90000,47.58095741271973
91000,91000,47.41811752319336
92000,92000,50.95863342285156
93000,93000,47.88470268249512
94000,94000,49.40533638000488
95000,95000,51.02992057800293
96000,96000,52.96754837036133
97000,97000,55.56917190551758
98000,98000,54.61525917053223
99000,99000,50.45270919799805
