horizontal segments,vertical segments,runtime(ms)
1000,1000,8.892536163330078
10000,10000,372.7879524230957
100000,100000,36494.52829360962
11000,11000,448.1239318847656
12000,12000,533.2479476928711
13000,13000,625.0486373901367
14000,14000,722.4228382110596
15000,15000,829.5435905456543
16000,16000,938.1771087646484
17000,17000,1063.4534358978271
18000,18000,1196.8703269958496
19000,19000,1325.6678581237793
2000,2000,17.180681228637695
20000,20000,1468.5940742492676
21000,21000,1619.0671920776367
22000,22000,1773.3073234558105
23000,23000,1938.0650520324707
24000,24000,2114.2666339874268
25000,25000,2289.1201972961426
26000,26000,2471.698999404907
27000,27000,2670.823812484741
28000,28000,2870.2330589294434
29000,29000,3074.7036933898926
3000,3000,36.35263442993164
30000,30000,3297.99485206604
31000,31000,3515.2618885040283
32000,32000,3749.3531703948975
33000,33000,3993.759870529175
34000,34000,4227.038860321045
35000,35000,4476.06086730957
36000,36000,4735.28790473938
37000,37000,5012.126684188843
38000,38000,5287.222146987915
39000,39000,5553.407192230225
4000,4000,64.04399871826172
40000,40000,5846.523761749268
41000,41000,6133.067607879639
42000,42000,6434.643268585205
43000,43000,6770.60341835022
44000,44000,7072.392702102661
45000,45000,7395.658254623413
46000,46000,7733.860492706299
47000,47000,8074.772357940674
48000,48000,8419.21091079712
49000,49000,8792.707920074463
5000,5000,94.38014030456543
50000,50000,9150.816440582275
51000,51000,9491.80269241333
52000,52000,9855.977773666382
53000,53000,10253.527164459229
54000,54000,10641.411781311035
55000,55000,11042.511940002441
56000,56000,11474.63607788086
57000,57000,11887.338638305664
58000,58000,12297.495365142822
59000,59000,12746.748924255371
6000,6000,135.7266902923584
60000,60000,13155.687093734741
61000,61000,13598.18148612976
62000,62000,14040.035247802734
63000,63000,14514.18161392212
64000,64000,14992.631912231445
65000,65000,15439.459085464478
66000,66000,15880.001544952393
67000,67000,16429.271459579468
68000,68000,16929.04543876648
69000,69000,17437.904834747314
7000,7000,184.2358112335205
70000,70000,17906.235218048096
71000,71000,18378.196477890015
72000,72000,18944.267749786377
73000,73000,19421.172380447388
74000,74000,20007.864952087402
75000,75000,20479.379653930664
76000,76000,21145.801067352295
77000,77000,21612.584829330444
78000,78000,22188.077688217163
79000,79000,22770.472764968872
8000,8000,237.7321720123291
80000,80000,23424.90577697754
81000,81000,24008.69131088257
82000,82000,24664.758920669556
83000,83000,25116.524934768677
84000,84000,25765.66767692566
85000,85000,26353.6376953125
86000,86000,27054.083347320557
87000,87000,27579.43105697632
88000,88000,28347.87893295288
89000,89000,28978.046894073486
9000,9000,303.74813079833984
90000,90000,29823.628902435303
91000,91000,30396.01707458496
92000,92000,31154.619455337524
93000,93000,31778.061866760254
94000,94000,32437.694787979126
95000,95000,33210.71219444275
96000,96000,33906.64625167847
97000,97000,34568.69387626648
98000,98000,35209.10310745239
99000,99000,35836.94005012512
