horizontal segments,vertical segments,runtime(ms)
1000,1000,1.7385482788085938
10000,10000,8.212089538574219
100000,100000,51.86939239501953
11000,11000,5.657196044921875
12000,12000,9.769678115844727
13000,13000,7.130861282348633
14000,14000,8.997201919555664
15000,15000,8.853673934936523
16000,16000,8.97836685180664
17000,17000,8.936882019042969
18000,18000,10.111331939697266
19000,19000,10.487556457519531
2000,2000,1.9862651824951172
20000,20000,12.308120727539062
21000,21000,10.943174362182617
22000,22000,12.500524520874023
23000,23000,13.402938842773438
24000,24000,12.059450149536133
25000,25000,14.36924934387207
26000,26000,14.095306396484375
27000,27000,14.08076286315918
28000,28000,14.042377471923828
29000,29000,17.880916595458984
3000,3000,3.0045509338378906
30000,30000,16.07227325439453
31000,31000,17.447471618652344
32000,32000,15.833616256713867
33000,33000,17.037630081176758
34000,34000,20.976781845092773
35000,35000,18.153667449951172
36000,36000,21.984577178955078
37000,37000,18.523216247558594
38000,38000,21.335363388061523
39000,39000,21.681547164916992
4000,4000,2.7294158935546875
40000,40000,23.21648597717285
41000,41000,22.752046585083008
42000,42000,20.747900009155273
43000,43000,23.820877075195312
44000,44000,22.549867630004883
45000,45000,23.460865020751953
46000,46000,23.74553680419922
47000,47000,23.412466049194336
48000,48000,23.933887481689453
49000,49000,25.499582290649414
5000,5000,3.9589405059814453
50000,50000,29.60968017578125
51000,51000,29.596805572509766
52000,52000,29.247522354125977
53000,53000,29.381990432739258
54000,54000,32.07993507385254
55000,55000,29.460906982421875
56000,56000,28.329133987426758
57000,57000,31.780004501342773
58000,58000,29.15501594543457
59000,59000,35.867929458618164
6000,6000,3.5161972045898438
60000,60000,35.42518615722656
61000,61000,30.51304817199707
62000,62000,30.997514724731445
63000,63000,32.34100341796875
64000,64000,32.89198875427246
65000,65000,31.87394142150879
66000,66000,33.40506553649902
67000,67000,34.88922119140625
68000,68000,35.67385673522949
69000,69000,39.54768180847168
7000,7000,5.767822265625
70000,70000,41.129350662231445
71000,71000,38.910865783691406
72000,72000,40.17519950866699
73000,73000,41.14222526550293
74000,74000,37.37902641296387
75000,75000,45.54557800292969
76000,76000,37.69659996032715
77000,77000,38.55776786804199
78000,78000,38.263559341430664
79000,79000,45.305728912353516
8000,8000,6.296396255493164
80000,80000,46.78750038146973
81000,81000,44.48986053466797
82000,82000,40.00520706176758
83000,83000,48.89416694641113
84000,84000,43.13302040100098
85000,85000,43.202877044677734
86000,86000,42.90461540222168
87000,87000,43.41387748718262
88000,88000,45.54128646850586
89000,89000,50.34613609313965
9000,9000,5.314111709594727
90000,90000,45.13144493103027
91000,91000,46.051740646362305
92000,92000,46.36812210083008
93000,93000,52.83045768737793
94000,94000,51.75375938415527
95000,95000,46.85544967651367
96000,96000,47.38330841064453
97000,97000,50.70233345031738
98000,98000,53.70354652404785
99000,99000,49.47710037231445
