horizontal segments,vertical segments,runtime(ms)
1000,1000,1.7008781433105469
10000,10000,6.983518600463867
100000,100000,62.05177307128906
11000,11000,7.439136505126953
12000,12000,8.090496063232422
13000,13000,9.008646011352539
14000,14000,10.325193405151367
15000,15000,9.861469268798828
16000,16000,12.172698974609375
17000,17000,12.537717819213867
18000,18000,12.953758239746094
19000,19000,13.681411743164062
2000,2000,2.6175975799560547
20000,20000,14.098644256591797
21000,21000,12.77780532836914
22000,22000,19.208192825317383
23000,23000,20.926237106323242
24000,24000,15.307903289794922
25000,25000,20.9653377532959
26000,26000,22.315502166748047
27000,27000,17.500877380371094
28000,28000,19.77705955505371
29000,29000,20.046472549438477
3000,3000,3.2601356506347656
30000,30000,25.758981704711914
31000,31000,19.28234100341797
32000,32000,19.563913345336914
33000,33000,23.433923721313477
34000,34000,21.40045166015625
35000,35000,25.72321891784668
36000,36000,30.599594116210938
37000,37000,27.654409408569336
38000,38000,25.669097900390625
39000,39000,26.82018280029297
4000,4000,4.283666610717773
40000,40000,31.571149826049805
41000,41000,26.99732780456543
42000,42000,25.211811065673828
43000,43000,29.758214950561523
44000,44000,26.29685401916504
45000,45000,27.082204818725586
46000,46000,38.549184799194336
47000,47000,27.980804443359375
48000,48000,29.068708419799805
49000,49000,30.065298080444336
5000,5000,5.190372467041016
50000,50000,36.56911849975586
51000,51000,31.17060661315918
52000,52000,34.66176986694336
53000,53000,31.535863876342773
54000,54000,32.04512596130371
55000,55000,32.26351737976074
56000,56000,38.968563079833984
57000,57000,34.26074981689453
58000,58000,34.479379653930664
59000,59000,41.26262664794922
6000,6000,5.593538284301758
60000,60000,35.9804630279541
61000,61000,36.069393157958984
62000,62000,43.866872787475586
63000,63000,40.65680503845215
64000,64000,41.16058349609375
65000,65000,40.88854789733887
66000,66000,42.21153259277344
67000,67000,38.381099700927734
68000,68000,48.0802059173584
69000,69000,39.98446464538574
7000,7000,6.071329116821289
70000,70000,45.19844055175781
71000,71000,43.369293212890625
72000,72000,48.51698875427246
73000,73000,43.18070411682129
74000,74000,43.61248016357422
75000,75000,48.43497276306152
76000,76000,43.63131523132324
77000,77000,45.34101486206055
78000,78000,56.406497955322266
79000,79000,50.50826072692871
8000,8000,7.14874267578125
80000,80000,49.82638359069824
81000,81000,51.81384086608887
82000,82000,45.6693172454834
83000,83000,47.71089553833008
84000,84000,49.09682273864746
85000,85000,49.32212829589844
86000,86000,56.609392166137695
87000,87000,52.46543884277344
88000,88000,55.94587326049805
89000,89000,61.30027770996094
9000,9000,6.5555572509765625
90000,90000,59.50927734375
91000,91000,64.00060653686523
92000,92000,61.86532974243164
93000,93000,57.120323181152344
94000,94000,55.6025505065918
95000,95000,58.30812454223633
96000,96000,55.24921417236328
97000,97000,57.64603614807129
98000,98000,57.328224182128906
99000,99000,60.872554779052734
