horizontal segments 62000
653 719 366
144 744 302
784 991 393
947 993 362
498 523 571
753 972 133
31 568 487
703 936 30
898 925 753
126 743 574
847 965 984
776 829 942
393 805 655
372 792 676
615 856 928
53 105 59
490 603 845
794 967 362
581 840 344
892 931 672
257 300 752
745 886 853
986 998 616
944 949 328
985 995 138
196 270 96
543 662 369
152 456 822
400 704 356
373 792 906
80 763 604
107 759 767
270 657 192
552 766 973
600 951 107
459 949 318
302 888 966
318 580 672
283 419 766
665 756 457
542 869 272
88 481 782
273 372 104
937 964 431
78 301 411
764 914 611
963 983 47
138 994 934
216 241 502
345 613 592
607 725 312
223 712 89
78 292 543
252 474 216
278 490 770
277 506 863
779 817 67
929 997 318
436 899 530
204 778 948
934 941 706
521 690 451
686 894 770
896 911 669
431 509 124
606 676 907
177 431 964
760 837 402
276 903 546
649 849 985
720 910 22
494 645 319
612 696 350
705 904 151
773 830 139
714 831 471
483 524 736
698 944 863
290 933 294
105 609 431
995 1000 490
243 803 887
681 721 292
294 627 506
694 812 961
580 980 20
657 805 937
638 921 964
407 778 346
125 488 963
717 777 986
844 931 250
460 786 210
162 817 107
81 833 793
153 881 991
861 981 224
332 370 528
298 509 818
811 929 396
652 748 88
181 955 330
899 940 361
240 673 986
295 680 842
869 922 273
720 956 134
920 996 727
96 477 469
42 648 171
989 992 711
176 859 711
927 987 372
3 854 41
777 981 206
859 871 412
97 203 901
872 954 909
256 993 214
816 835 917
520 954 525
18 410 801
898 907 157
129 993 417
191 703 641
708 861 151
621 739 740
782 915 650
912 918 390
584 919 929
944 977 331
21 812 861
341 615 13
350 555 674
183 449 836
828 911 186
12 334 648
807 964 27
928 981 725
310 905 165
623 736 48
727 873 543
905 989 106
491 938 562
182 615 857
319 330 575
886 994 981
335 689 336
227 607 253
731 849 216
951 985 413
858 997 779
294 644 472
493 511 991
962 977 962
76 839 505
40 956 408
842 852 443
632 682 854
849 951 432
411 777 348
562 581 437
925 943 506
459 618 558
794 950 521
108 147 569
470 625 208
116 737 387
977 991 445
539 840 324
926 939 817
231 498 760
482 625 522
237 893 436
992 993 132
466 904 358
65 694 684
834 943 215
957 981 603
856 900 343
482 826 212
380 864 615
277 821 702
179 441 53
642 842 361
574 974 997
997 1000 127
537 945 835
630 869 252
520 699 728
278 833 498
97 642 548
617 967 876
675 993 308
32 414 995
415 935 637
199 977 47
514 773 688
93 661 393
428 907 725
266 638 363
301 763 2
934 936 267
54 650 283
830 913 717
452 493 475
777 789 962
339 489 632
369 672 977
440 623 1
435 824 378
210 718 278
521 572 448
363 564 382
553 652 47
578 789 809
364 717 20
617 839 861
944 988 369
687 709 340
108 111 388
609 646 513
177 678 985
570 960 111
445 783 114
903 966 393
981 994 121
592 698 247
246 487 63
936 979 332
458 487 750
999 1000 975
930 980 564
537 806 575
622 631 863
104 584 147
84 731 43
753 760 493
30 898 234
95 300 629
477 831 532
885 965 950
525 876 552
363 933 404
839 879 758
678 810 83
704 760 251
298 436 43
825 961 552
636 766 973
880 960 132
591 646 441
901 980 434
246 860 423
160 634 858
69 391 725
654 828 165
331 812 799
418 429 548
259 627 847
232 346 848
91 312 850
596 829 255
530 917 688
318 362 190
737 776 426
697 747 42
368 390 131
640 653 273
865 887 231
280 506 205
786 914 246
822 971 565
31 446 684
188 679 678
715 783 803
491 794 260
412 921 11
792 910 523
705 763 976
26 963 135
515 644 56
1 814 662
698 734 57
484 742 974
778 997 143
593 675 872
13 659 387
656 890 666
634 937 186
562 874 292
663 870 879
400 978 281
457 961 23
512 680 327
465 530 364
66 846 56
894 977 133
466 491 801
604 666 440
912 959 949
279 323 775
479 780 305
641 709 627
972 993 467
964 972 848
627 716 499
283 413 198
575 905 272
92 812 384
961 962 523
458 663 643
414 559 211
127 463 61
88 102 428
124 151 443
636 731 47
883 983 698
130 883 921
855 879 392
224 433 292
542 600 285
905 918 703
532 590 289
900 977 927
343 964 731
667 925 926
188 857 36
519 623 709
262 437 678
404 726 870
197 923 645
930 955 668
285 293 32
770 836 309
389 682 903
136 775 532
431 948 407
654 857 619
797 878 177
60 943 372
658 771 939
615 843 252
603 745 989
382 501 563
453 744 723
259 668 490
37 618 2
639 780 477
747 797 156
836 864 409
397 966 159
834 888 354
133 135 378
275 908 928
342 543 780
48 445 518
849 899 966
738 920 219
114 246 817
550 816 604
292 779 762
23 994 685
3 306 914
913 970 182
684 823 907
233 496 869
310 390 907
950 970 163
582 933 943
187 701 866
948 953 221
735 966 729
620 684 512
491 647 767
584 736 356
752 820 142
669 970 814
145 918 801
129 614 697
111 765 132
904 949 924
342 824 296
581 747 653
654 851 929
166 746 106
906 964 847
483 659 38
472 581 72
457 852 818
991 1000 769
329 807 1
682 703 811
333 493 102
752 798 759
674 950 885
911 983 755
592 804 582
469 471 602
598 619 699
273 435 977
463 862 81
533 674 649
262 863 972
791 907 308
402 445 14
1 949 511
348 593 881
143 641 673
906 931 898
661 961 567
372 953 754
366 1000 617
106 620 311
812 899 279
988 993 655
753 872 412
877 897 792
851 944 576
722 983 832
420 575 461
558 653 321
877 982 939
999 1000 904
569 994 902
